City_ID,City Name,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
118,Saint-Philippe,RE,1587347170,-21.36,55.77,75,78,73.4,11.41
119,Alyangula,AU,1587347170,-13.85,136.42,29,55,91.4,6.93
120,Pangnirtung,CA,1587347170,66.15,-65.71,18,79,-0.81,6.02
121,Tigil,RU,1587346580,57.8,158.67,96,91,21.51,3.47
122,Coihaique,CL,1587347170,-45.58,-72.07,42,86,41,2.24
123,Richards Bay,ZA,1587346587,-28.78,32.04,0,80,66.87,8.88
124,Gereykhanovskoye,RU,1587347171,41.7,48.28,98,53,54.23,1.68
125,Longyearbyen,SJ,1587346916,78.22,15.64,90,86,30.2,33.33
126,Kapit,MY,1587347171,2.02,112.93,36,52,92.7,1.21
127,Akdepe,TM,1587347171,42.06,59.38,84,47,57.2,6.93
128,Constitucion,CL,1587347021,-35.33,-72.42,96,67,56.53,9.28
129,Tanout,NE,1587346983,14.97,8.89,83,15,74.62,2.75
130,Ilam,NP,1587347172,26.92,87.92,32,37,71.4,4.03
131,Canutama,BR,1587347003,-6.53,-64.38,92,95,73.76,0.34
132,Huilong,CN,1587347062,31.81,121.66,23,69,63.16,4.27
133,Te Anau,NZ,1587347172,-45.42,167.72,23,54,53.29,7.65
134,Hamilton,US,1587346988,39.18,-84.53,1,81,52,3.83
135,Bluff,NZ,1587347172,-46.6,168.33,70,60,57.99,7
136,Ucluelet,CA,1587347017,48.93,-125.55,75,87,61,5.82
137,Ilulissat,GL,1587346573,69.22,-51.1,100,46,30.2,19.46
138,Tezu,IN,1587346982,27.92,96.17,96,64,70.41,2.06
139,Castro,BR,1587346941,-24.79,-50.01,49,70,56.52,5.79
140,Nova Granada,BR,1587347173,-20.53,-49.31,19,79,67.24,4.63
141,Mango,US,1587347173,27.98,-82.31,1,83,80.6,8.05
142,Chuy,UY,1587347173,-33.7,-53.46,0,85,64.47,9.71
143,Russell,US,1587347174,32.35,-85.2,90,93,62.6,5.82
144,Isangel,VU,1587347174,-19.55,169.27,100,82,79.81,14.52
145,Terra Rica,BR,1587347039,-22.71,-52.62,0,76,64.54,5.37
146,Yerofey Pavlovich,RU,1587347174,53.97,121.97,100,71,25.5,16.44
147,Goderich,CA,1587347118,43.75,-81.72,0,59,37,11.41
148,Chalchihuites,MX,1587347175,23.48,-103.88,17,20,56.75,8.1
149,Soyo,AO,1587347175,-6.13,12.37,88,82,78.85,2.35
150,Lakefield,US,1587347175,43.68,-95.17,1,33,46.4,5.82
151,Provideniya,RU,1587346906,64.38,-173.3,100,95,22.59,13.62
152,Roma,US,1587346852,43.21,-75.46,90,93,45,5.82
153,Sorong,ID,1587347176,-0.88,131.25,10,68,88.63,0.51
154,Bilma,NE,1587347005,18.69,12.92,88,13,82.11,7.27
155,Beringovskiy,RU,1587347176,63.05,179.32,100,96,21.47,17.56
156,Tilichiki,RU,1587347176,60.47,166.1,100,90,17.91,16.71
157,Tuktoyaktuk,CA,1587347177,69.45,-133.04,90,85,10.4,9.17
158,Saskylakh,RU,1587347177,71.92,114.08,17,95,22.86,2.73
159,Severo-Kurilsk,RU,1587347177,50.68,156.12,52,92,31.71,9.17
160,Visalia,US,1587347177,36.33,-119.29,1,43,73.4,10.29
161,Thinadhoo,MV,1587346999,0.53,72.93,69,73,85.01,10.36
162,Fortuna,US,1587346909,40.6,-124.16,90,81,53.01,8.05
163,Tambura,SS,1587347012,5.6,27.47,100,69,68.74,4.14
164,Coxim,BR,1587347178,-18.51,-54.76,1,81,72.54,5.57
165,Kodiak,US,1587346975,57.79,-152.41,90,76,48.2,11.41
166,Marawi,PH,1587347178,8,124.29,97,56,82.49,2.48
167,Ukiah,US,1587347031,39.15,-123.21,20,48,64.4,4.7
168,Melchor De Mencos,GT,1587347179,17.07,-89.15,21,79,80.01,5.99
169,Asau,RO,1587346971,46.43,26.4,90,75,46.4,12.75
170,Asfi,MA,1587347179,32.3,-9.24,8,79,59.07,3.24
171,Saldanha,ZA,1587347179,-33.01,17.94,92,80,61.95,16.17
172,Cabedelo,BR,1587347179,-6.98,-34.83,31,94,77,2.24
173,Saint-Augustin,CA,1587347052,51.23,-58.65,100,98,28.54,17.11
