City_ID,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temp,Wind Speed
284,US,1584253667,37.61,-122.49,90,81,51.01,5.82
285,TW,1584253667,24.76,121.75,20,37,71.6,12.75
286,BR,1584253668,-3.2,-52.21,100,99,73.22,2.51
287,US,1584253668,33.45,-88.82,90,93,66.2,3.42
288,RU,1584253668,53.45,125.8,55,83,15.12,8.16
289,BR,1584253668,-33.52,-53.37,100,83,67.1,10.31
290,PH,1584253668,20.45,121.97,40,75,69.64,24.56
291,CA,1584253446,66.15,-65.71,100,97,-35.05,1.1
292,RU,1584253669,46.17,45.34,2,56,48.25,8.63
293,MX,1584253485,15.85,-97.07,1,86,70.81,2.04
294,CL,1584253669,-29.95,-71.34,90,93,60.8,3.36
295,YE,1584253669,14.2,43.32,20,64,77.41,3.67
296,BS,1584253669,24.7,-77.77,40,83,73.4,5.82
297,CV,1584253669,14.92,-23.51,12,77,69.8,14.99
298,BR,1584253669,-15.86,-38.88,40,88,75.2,3.36
299,IS,1584253670,64.25,-15.21,99,63,29.37,9.71
300,BJ,1584253670,9.94,3.21,12,19,69.35,3.96
301,BG,1584253670,41.98,27.53,90,87,44.6,11.41
302,RE,1584253670,-21.36,55.77,74,69,84.2,19.46
303,BR,1584253670,-3.28,-39.27,99,94,73.38,3.06
304,CA,1584253670,47.67,-52.73,5,74,30.0,26.4
305,MX,1584253671,21.65,-101.5,86,62,58.6,9.78
306,SN,1584253431,14.69,-17.44,40,94,69.8,11.41
307,GL,1584253671,61.99,-49.67,100,64,3.87,6.62
308,US,1584253623,36.68,-121.66,90,88,52.0,9.17
309,TC,1584253671,21.46,-71.14,1,76,75.54,18.03
310,RU,1584253432,69.49,88.4,40,77,3.2,22.37
311,GB,1584253672,51.8,-4.97,100,93,46.4,18.34
312,RU,1584253672,51.68,79.78,100,98,35.71,11.68
313,RU,1584253672,52.69,37.96,100,46,26.78,21.32
314,BR,1584253510,2.82,-60.67,40,62,84.2,5.82
315,ES,1584253672,43.08,-2.51,20,100,57.0,3.36
316,RU,1584253672,59.24,163.07,0,73,16.57,6.24
317,MU,1584253467,-20.21,57.76,40,78,84.0,6.93
318,US,1584253389,38.65,-94.35,90,90,36.0,11.41
319,LY,1584253596,31.21,16.59,0,27,63.9,6.49
320,NZ,1584253673,-43.63,171.65,100,72,64.0,10.2
321,US,1584253673,30.51,-87.21,1,93,66.99,2.17
322,IN,1584253673,25.4,88.52,33,40,82.51,5.77
323,US,1584253600,64.84,-147.72,90,73,24.8,1.81
324,PT,1584253674,39.82,-7.49,0,81,48.0,1.59
325,IN,1584253674,23.25,91.45,100,26,92.88,11.5
326,ML,1584253674,12.28,-10.97,7,17,69.13,1.34
327,IN,1584253555,11.67,92.75,16,69,83.64,8.75
328,US,1584253674,46.19,-123.83,20,64,39.0,18.34
329,GL,1584253674,68.71,-52.87,92,96,-14.1,5.46
330,JM,1584253675,17.89,-77.59,1,90,67.35,6.38
331,BR,1584253675,-5.2,-35.46,75,100,75.2,4.7
332,AU,1584253675,-32.72,152.15,90,64,71.01,14.99
333,AU,1584253675,-38.38,142.48,15,67,64.0,15.5
334,CD,1584253675,-6.15,23.6,75,88,73.4,4.7
335,CN,1584253675,24.52,103.77,76,34,77.83,8.72
336,ZA,1584253676,-22.95,30.48,19,65,76.23,4.7
337,ES,1584253676,39.47,3.15,20,100,52.0,2.24
338,CN,1584253676,37.46,118.49,0,25,55.09,9.19
339,TR,1584253676,36.96,36.2,20,100,62.6,0.83
340,US,1584253444,37.46,-122.43,90,81,51.8,5.82
341,RU,1584253676,62.07,49.57,46,90,16.11,6.49
342,UA,1584253676,52.18,32.58,59,41,28.2,19.62
343,TZ,1584253677,-8.57,32.05,100,89,65.55,1.83
344,CD,1584253677,-6.47,16.82,100,92,70.81,0.89
345,FR,1584253677,46.84,-1.87,90,100,50.0,6.93
346,NO,1584253596,70.98,25.97,100,78,27.91,15.7
347,AF,1584253677,32.25,67.25,93,33,48.07,3.94
348,AU,1584253678,-20.73,139.5,9,23,93.2,12.75
349,AU,1584253451,-25.24,130.99,0,14,96.8,8.05
350,HK,1584253606,22.29,114.16,20,56,72.0,6.93
351,BO,1584253460,-17.8,-63.17,75,78,78.8,3.36
352,ES,1584253678,40.58,-5.0,0,92,37.99,4.34
353,NO,1584253678,63.66,9.57,75,60,39.2,26.4
354,EG,1584253678,28.5,30.8,2,69,64.26,1.07
355,BR,1584253678,-5.82,-46.14,100,96,72.18,2.28
356,ES,1584253679,43.55,-5.92,40,87,43.0,4.7
357,NZ,1584253679,-46.13,167.68,100,84,60.01,11.01
358,CA,1584253679,49.63,-105.98,100,89,18.68,14.03
359,DE,1584253679,48.71,8.74,31,92,37.99,2.24
360,NC,1584253679,-20.4,164.57,100,87,77.16,22.73
361,JP,1584253444,33.36,129.55,75,33,59.0,13.87
362,SA,1584253680,18.39,42.45,20,77,64.4,11.41
363,CA,1584253680,48.65,-53.11,55,81,30.0,18.99
364,US,1584253475,38.25,-104.61,90,100,35.6,6.93
365,AU,1584253680,-20.32,118.57,1,47,96.8,16.11
366,NO,1584253410,61.99,5.14,100,93,42.01,19.46
367,NA,1584253495,-22.96,14.51,90,100,60.01,6.93
368,PL,1584253681,52.74,23.58,0,89,27.0,5.21
369,IQ,1584253681,36.32,41.88,81,83,53.51,2.55
370,MR,1584253681,20.93,-17.03,0,82,62.6,18.34
371,UY,1584253681,-33.7,-53.46,100,83,67.1,10.31
372,RU,1584253682,48.97,140.29,62,79,21.67,18.32
373,BR,1584253682,-21.64,-41.05,57,87,76.23,5.19
374,RU,1584253682,59.09,35.23,100,72,22.08,10.13
375,RU,1584253682,65.58,-171.0,100,94,20.25,11.72
376,ZA,1584253682,-34.0,24.73,31,83,66.06,15.12
377,PT,1584253450,39.05,-27.98,16,79,58.26,7.54
378,IN,1584253566,25.52,90.22,91,39,85.17,9.13
379,ES,1584253683,43.67,-7.41,2,89,46.0,1.01
380,RU,1584253683,51.4,46.87,24,73,36.0,8.99
381,US,1584253670,35.2,-111.65,40,92,46.99,7.63
382,US,1584253683,41.79,-107.24,1,60,41.0,11.41
383,GL,1584253423,64.18,-51.72,100,84,1.4,18.34
384,RU,1584253683,45.39,47.37,52,58,45.66,9.31
385,GH,1584253684,8.47,-0.01,83,79,79.0,5.32
386,AU,1584253684,-20.02,148.23,33,54,82.4,13.87
387,BW,1584253684,-20.47,22.72,0,59,77.41,1.61
388,ET,1584253684,4.05,38.3,76,63,74.48,14.63
389,KZ,1584253684,45.32,55.2,100,69,57.15,5.01
390,KE,1584253684,1.75,40.06,100,61,85.15,14.45
391,TZ,1584253441,-4.97,39.83,39,71,84.74,5.46
392,IN,1584253685,10.57,72.64,40,70,84.2,4.7
393,CA,1584253685,47.62,-57.62,83,80,29.41,34.94
394,SA,1584253685,26.33,43.98,40,63,66.2,13.87
395,CF,1584253685,4.96,18.7,85,69,73.4,2.44
396,LY,1584253405,32.38,15.09,0,71,63.9,14.03
397,RU,1584253685,60.34,102.28,100,88,32.34,12.84
398,PT,1584253685,38.73,-27.07,75,93,57.2,9.53
399,CN,1584253686,42.8,93.45,100,19,48.72,7.38
400,BR,1584253686,-9.71,-35.9,75,94,75.2,3.36
401,US,1584253686,40.63,-74.27,90,42,46.99,4.7
402,RU,1584253686,56.85,124.91,100,92,11.08,3.4
403,RU,1584253686,59.2,37.15,90,73,21.2,6.71
404,CD,1584253686,-4.97,23.45,86,81,75.38,2.57
405,AR,1584253686,-33.3,-66.34,82,43,62.6,20.11
406,MX,1584253426,16.86,-99.89,40,83,77.0,3.98
407,RU,1584253687,50.72,136.63,52,67,18.77,3.78
408,NG,1584253687,10.37,10.73,96,20,62.19,4.45
409,LK,1584253687,8.57,81.23,33,49,89.28,7.23
410,CA,1584253505,45.35,-80.03,100,62,27.0,3.0
411,BR,1584253687,-5.79,-35.21,75,100,77.0,4.7
412,PA,1584253688,8.62,-80.6,18,44,75.0,8.66
413,IS,1584253688,64.89,-23.71,93,64,31.32,26.08
414,RU,1584253688,66.32,-179.17,96,52,6.4,2.66
415,US,1584253688,41.28,-70.1,90,56,44.6,9.17
416,ML,1584253688,20.2,1.01,16,14,70.14,12.3
417,GL,1584253688,60.72,-46.03,100,67,19.4,2.24
418,TZ,1584253688,-4.13,37.95,86,79,76.82,1.61
419,NO,1584253689,63.73,8.83,75,60,39.2,26.4
420,US,1584253689,35.87,-101.97,90,100,44.6,11.41
421,GB,1584253689,53.62,-2.16,100,100,46.99,8.05
422,BR,1584253689,-7.26,-34.91,90,94,77.0,3.78
423,PF,1584253689,-17.51,-149.49,40,74,84.2,10.29
424,NA,1584253411,-22.12,14.28,1,95,60.01,1.81
